Marca,Potencia,Tipo de vehículo,Año,Km,Tipo Gasolina,Ubicación,Precio
MERCEDES-BENZ Clase A,180,,2023,19829,Diésel,Cádiz,32890
MERCEDES-BENZ Clase A,200,,2019,80630,Diésel,Murcia,25900
MERCEDES-BENZ Clase A,180,,2020,176000,Diésel,Toledo,23650
MERCEDES-BENZ Clase A,200,Sedán,2023,35000,Diésel,Cádiz,31900
MERCEDES-BENZ Clase A,170,,2007,139540,Gasolina,Valencia,6399
MERCEDES-BENZ Clase A,250,,2022,26500,Híbrido Enchufable,Madrid,37400
MERCEDES-BENZ Clase A,180,,2023,15524,Diésel,Cádiz,29900
MERCEDES-BENZ Clase A,200,,2013,317000,Diésel,Málaga,11900
MERCEDES-BENZ Clase A,180,,2015,169000,Diésel,Málaga,11995
MERCEDES-BENZ Clase A,200,,2023,12033,Diésel,Jaén,34990
MERCEDES-BENZ Clase A,200,,2023,28223,Diésel,Valencia,34800
MERCEDES-BENZ Clase A,180,Sedán,2020,114000,Diésel,Girona,19900
MERCEDES-BENZ Clase A,200,Sedán,2024,3,Diésel,Burgos,42400
MERCEDES-BENZ Clase A,250,Compacto,2024,114,Híbrido,Córdoba,46900
MERCEDES-BENZ Clase A,200,,2023,20781,Diésel,Córdoba,36000
MERCEDES-BENZ Clase A,180,Compacto,2023,14809,Diésel,Alicante,33600
MERCEDES-BENZ Clase A,200,,2023,7500,Diésel,Málaga,38900
MERCEDES-BENZ Clase A,250,,2023,10000,Híbrido,Málaga,39900
MERCEDES-BENZ Clase A,180,,2019,63000,Diésel,Málaga,24900
MERCEDES-BENZ Clase A,180,,2021,61000,Diésel,Madrid,25495
MERCEDES-BENZ Clase A,200,,2021,40000,Diésel,Málaga,35950
MERCEDES-BENZ Clase A,250,,2024,5000,Híbrido,Málaga,44900
MERCEDES-BENZ Clase A,180,Sedán,2020,57200,Gasolina,Burgos,23900
MERCEDES-BENZ Clase A,200,Sedán,2023,10000,Gasolina,Málaga,34900
MERCEDES-BENZ Clase A,180,,2019,134158,Diésel,Madrid,19990
MERCEDES-BENZ Clase A,250,,2024,3500,Híbrido,Málaga,44900
MERCEDES-BENZ Clase A,250,,2023,10000,Híbrido,Málaga,39900
MERCEDES-BENZ Clase A,200,,2023,31000,Diésel,Málaga,32900
MERCEDES-BENZ Clase A,180,Compacto,2024,5870,Diésel,La Coruña,35900
MERCEDES-BENZ Clase A,200,,2024,5000,Diésel,Málaga,42900
MERCEDES-BENZ Clase A,250,Sedán,2023,6000,Híbrido,Málaga,45950
MERCEDES-BENZ Clase A,180,,2018,137581,Diésel,Madrid,15890
MERCEDES-BENZ Clase A,250,,2023,7572,Híbrido Enchufable,Barcelona,38800
MERCEDES-BENZ Clase A,250,,2023,6851,Híbrido Enchufable,Barcelona,38800
MERCEDES-BENZ Clase A,180,,2023,8500,Diésel,Málaga,36950
MERCEDES-BENZ Clase A,250,,2022,55008,Híbrido Enchufable,Madrid,32299
MERCEDES-BENZ Clase A,250,,2023,4000,Híbrido,Málaga,38900
MERCEDES-BENZ Clase A,250,Sedán,2023,8500,Híbrido,Málaga,36900
MERCEDES-BENZ Clase A,200,,2023,61463,Diésel,Granada,34900
MERCEDES-BENZ Clase A,200,,2023,20500,Diésel,Málaga,35900
MERCEDES-BENZ Clase A,200,Sedán,2023,5756,Diésel,Madrid,38900
MERCEDES-BENZ Clase A,180,,2020,73150,Diésel,Madrid,23900
MERCEDES-BENZ Clase A,200,Sedán,2023,10500,Diésel,La Coruña,35500
MERCEDES-BENZ Clase A,250,,2023,5000,Híbrido,Málaga,39900
MERCEDES-BENZ Clase A,250,,2023,5000,Híbrido,Málaga,39900
MERCEDES-BENZ Clase A,200,,2015,142000,Diésel,La Coruña,22900
MERCEDES-BENZ Clase A,180,,2023,4000,Diésel,Málaga,36950
MERCEDES-BENZ Clase A,250,Compacto,2024,8,Híbrido,Córdoba,46500
MERCEDES-BENZ Clase A,200,,2021,71256,Diésel,Granada,33900
MERCEDES-BENZ Clase A,180,Sedán,2023,29000,Gasolina,Málaga,34900
MERCEDES-BENZ Clase A,200,,2023,23187,Diésel,La Coruña,35500
MERCEDES-BENZ Clase A,250,Compacto,2022,16500,Híbrido,Asturias,37500
MERCEDES-BENZ Clase A,200,,2023,26791,Diésel,La Coruña,36900
MERCEDES-BENZ Clase A,200,,2019,159000,Diésel,La Coruña,25500
MERCEDES-BENZ Clase A,250,Compacto,2023,9663,Híbrido,Córdoba,44400
MERCEDES-BENZ Clase A,180,,2023,31870,Diésel,La Coruña,33900
MERCEDES-BENZ Clase A,200,,2019,65974,Diésel,Alicante,25450
MERCEDES-BENZ Clase A,250,Compacto,2023,9663,Híbrido,Madrid,44400
MERCEDES-BENZ Clase A,250,,2022,38487,Híbrido,La Coruña,33900
MERCEDES-BENZ Clase A,250,,2020,69857,Gasolina,Madrid,25890
MERCEDES-BENZ Clase A,200,,2023,14500,Diésel,Málaga,41950
MERCEDES-BENZ Clase A,200,Compacto,2024,1,Diésel,Córdoba,40900
MERCEDES-BENZ Clase A,180,Compacto,2024,3200,Diésel,Toledo,37500
MERCEDES-BENZ Clase A,180,,2023,9399,Diésel,Granada,33500
MERCEDES-BENZ Clase A,250,,2023,5000,Híbrido,Málaga,48900
MERCEDES-BENZ Clase A,180,Compacto,2022,31434,Diésel,Madrid,33900
MERCEDES-BENZ Clase A,180,,2024,7549,Diésel,La Coruña,34900
MERCEDES-BENZ Clase A,200,Sedán,2024,400,Gasolina,Barcelona,39900
MERCEDES-BENZ Clase A,180,Compacto,2023,14900,Diésel,Alicante,33900
MERCEDES-BENZ Clase A,250,,2023,7045,Híbrido,Asturias,39900
MERCEDES-BENZ Clase A,200,,2024,5000,Gasolina,Málaga,45900
MERCEDES-BENZ Clase A,180,Sedán,2020,40500,Diésel,Málaga,28900
MERCEDES-BENZ Clase A,180,Sedán,2023,7500,Gasolina,Málaga,37950
MERCEDES-BENZ Clase A,200,Compacto,2023,23021,Diésel,Granada,35900
MERCEDES-BENZ Clase A,180,Compacto,2022,11768,Diésel,Islas Baleares,34000
MERCEDES-BENZ Clase A,250,Compacto,2023,17900,Gasolina,Granada,35900
